Date,deskripsi,kategori,nominal,tipe,is_outlier,tahun_bulan,hari
2014-01-01 09:00:00,Kiriman Orang Tua,Kiriman Orang Tua,2500000.0,Pemasukan,True,2014-01,Wednesday
2014-01-01 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Wednesday
2014-01-01 12:30:00,Pecel Lele,Makanan & Minuman,13950.0,Pengeluaran,False,2014-01,Wednesday
2014-01-01 19:00:00,Ayam Geprek,Makanan & Minuman,17050.0,Pengeluaran,False,2014-01,Wednesday
2014-01-02 12:30:00,Ayam Geprek,Makanan & Minuman,14400.0,Pengeluaran,False,2014-01,Thursday
2014-01-02 19:00:00,Ayam Geprek,Makanan & Minuman,17600.0,Pengeluaran,False,2014-01,Thursday
2014-01-03 12:30:00,Nasi Campur,Makanan & Minuman,12150.0,Pengeluaran,False,2014-01,Friday
2014-01-03 19:00:00,Mie Ayam,Makanan & Minuman,14850.0,Pengeluaran,False,2014-01,Friday
2014-01-04 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Saturday
2014-01-04 12:30:00,Pecel Lele,Makanan & Minuman,13050.0,Pengeluaran,False,2014-01,Saturday
2014-01-04 19:00:00,Mie Ayam,Makanan & Minuman,15950.0,Pengeluaran,False,2014-01,Saturday
2014-01-05 11:00:00,Pulsa,Tagihan,50000.0,Pengeluaran,True,2014-01,Sunday
2014-01-05 09:00:00,Laundry,Kebutuhan,20000.0,Pengeluaran,False,2014-01,Sunday
2014-01-05 12:30:00,Pecel Lele,Makanan & Minuman,11700.0,Pengeluaran,False,2014-01,Sunday
2014-01-05 19:00:00,Soto,Makanan & Minuman,14300.0,Pengeluaran,False,2014-01,Sunday
2014-01-06 12:30:00,Ayam Geprek,Makanan & Minuman,13950.0,Pengeluaran,False,2014-01,Monday
2014-01-06 19:00:00,Nasi Telur,Makanan & Minuman,17050.0,Pengeluaran,False,2014-01,Monday
2014-01-07 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Tuesday
2014-01-07 12:30:00,Ayam Geprek,Makanan & Minuman,11250.0,Pengeluaran,False,2014-01,Tuesday
2014-01-07 19:00:00,Pecel Lele,Makanan & Minuman,13750.0,Pengeluaran,False,2014-01,Tuesday
2014-01-08 12:30:00,Mie Ayam,Makanan & Minuman,13500.0,Pengeluaran,False,2014-01,Wednesday
2014-01-08 19:00:00,Nasi Campur,Makanan & Minuman,16500.0,Pengeluaran,False,2014-01,Wednesday
2014-01-09 12:30:00,Pecel Lele,Makanan & Minuman,13950.0,Pengeluaran,False,2014-01,Thursday
2014-01-09 19:00:00,Nasi Campur,Makanan & Minuman,17050.0,Pengeluaran,False,2014-01,Thursday
2014-01-10 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Friday
2014-01-10 12:30:00,Soto,Makanan & Minuman,15300.0,Pengeluaran,False,2014-01,Friday
2014-01-10 19:00:00,Mie Ayam,Makanan & Minuman,18700.0,Pengeluaran,False,2014-01,Friday
2014-01-11 12:30:00,Nasi Telur,Makanan & Minuman,12600.0,Pengeluaran,False,2014-01,Saturday
2014-01-11 19:00:00,Mie Ayam,Makanan & Minuman,15400.0,Pengeluaran,False,2014-01,Saturday
2014-01-12 09:00:00,Laundry,Kebutuhan,20000.0,Pengeluaran,False,2014-01,Sunday
2014-01-12 12:30:00,Ayam Geprek,Makanan & Minuman,13950.0,Pengeluaran,False,2014-01,Sunday
2014-01-12 19:00:00,Nasi Telur,Makanan & Minuman,17050.0,Pengeluaran,False,2014-01,Sunday
2014-01-13 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Monday
2014-01-13 12:30:00,Nasi Telur,Makanan & Minuman,10350.0,Pengeluaran,False,2014-01,Monday
2014-01-13 19:00:00,Pecel Lele,Makanan & Minuman,12650.0,Pengeluaran,False,2014-01,Monday
2014-01-14 12:30:00,Nasi Telur,Makanan & Minuman,13050.0,Pengeluaran,False,2014-01,Tuesday
2014-01-14 19:00:00,Warteg,Makanan & Minuman,15950.0,Pengeluaran,False,2014-01,Tuesday
2014-01-15 19:30:00,Belanja Bulanan,Kebutuhan,100000.0,Pengeluaran,True,2014-01,Wednesday
2014-01-15 12:30:00,Pecel Lele,Makanan & Minuman,10350.0,Pengeluaran,False,2014-01,Wednesday
2014-01-15 19:00:00,Nasi Campur,Makanan & Minuman,12650.0,Pengeluaran,False,2014-01,Wednesday
2014-01-16 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Thursday
2014-01-16 12:30:00,Ayam Geprek,Makanan & Minuman,13950.0,Pengeluaran,False,2014-01,Thursday
2014-01-16 19:00:00,Nasi Campur,Makanan & Minuman,17050.0,Pengeluaran,False,2014-01,Thursday
2014-01-17 12:30:00,Pecel Lele,Makanan & Minuman,9000.0,Pengeluaran,False,2014-01,Friday
2014-01-17 19:00:00,Warteg,Makanan & Minuman,11000.0,Pengeluaran,False,2014-01,Friday
2014-01-18 12:30:00,Soto,Makanan & Minuman,11700.0,Pengeluaran,False,2014-01,Saturday
2014-01-18 19:00:00,Soto,Makanan & Minuman,14300.0,Pengeluaran,False,2014-01,Saturday
2014-01-19 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Sunday
2014-01-19 09:00:00,Laundry,Kebutuhan,20000.0,Pengeluaran,False,2014-01,Sunday
2014-01-19 12:30:00,Soto,Makanan & Minuman,12600.0,Pengeluaran,False,2014-01,Sunday
2014-01-19 19:00:00,Ayam Geprek,Makanan & Minuman,15400.0,Pengeluaran,False,2014-01,Sunday
2014-01-20 12:30:00,Pecel Lele,Makanan & Minuman,13050.0,Pengeluaran,False,2014-01,Monday
2014-01-20 19:00:00,Warteg,Makanan & Minuman,15950.0,Pengeluaran,False,2014-01,Monday
2014-01-21 12:30:00,Soto,Makanan & Minuman,10350.0,Pengeluaran,False,2014-01,Tuesday
2014-01-21 19:00:00,Nasi Campur,Makanan & Minuman,12650.0,Pengeluaran,False,2014-01,Tuesday
2014-01-22 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Wednesday
2014-01-22 12:30:00,Soto,Makanan & Minuman,12150.0,Pengeluaran,False,2014-01,Wednesday
2014-01-22 19:00:00,Nasi Campur,Makanan & Minuman,14850.0,Pengeluaran,False,2014-01,Wednesday
2014-01-23 12:30:00,Ayam Geprek,Makanan & Minuman,14850.0,Pengeluaran,False,2014-01,Thursday
2014-01-23 19:00:00,Ayam Geprek,Makanan & Minuman,18150.0,Pengeluaran,False,2014-01,Thursday
2014-01-24 12:30:00,Warteg,Makanan & Minuman,10800.0,Pengeluaran,False,2014-01,Friday
2014-01-24 19:00:00,Nasi Telur,Makanan & Minuman,13200.0,Pengeluaran,False,2014-01,Friday
2014-01-25 17:00:00,Bensin,Transportasi,20000.0,Pengeluaran,False,2014-01,Saturday
